CV_CB3_D4_-20C
Date/Time: 2/10/2017 1:15:34 PM
Sensor Name: CB3_D4
Type: N
Annealing Status: 0min
Environment: -20C
Tester: Dante + Soumya

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 3.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_Cp_freq2	LCR_Rp_freq1	LCR_Rp_freq2	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	7.758E-11	7.804E-11	4.114E+9	-6.003E+7	  -20.1332	    7.6094	    4.3254	  -31.1509	
   10.0000	2.571E-11	2.605E-11	-1.935E+9	-4.156E+8	  -20.1031	    7.6382	    4.3257	  -31.1297	
   20.0000	1.830E-11	1.857E-11	-2.391E+9	-3.470E+8	  -20.0897	    7.5940	    4.2995	  -31.2243	
   30.0000	1.515E-11	1.543E-11	-1.856E+9	-3.384E+8	  -20.0829	    7.5620	    4.2957	  -31.2562	
   40.0000	1.328E-11	1.356E-11	-1.981E+9	-3.344E+8	  -20.1103	    7.5620	    4.3172	  -31.2043	
   50.0000	1.202E-11	1.229E-11	-1.418E+9	-3.333E+8	  -20.0611	    7.5952	    4.3428	  -31.1192	
   60.0000	1.107E-11	1.135E-11	-1.464E+9	-3.333E+8	  -20.0867	    7.5455	    4.3558	  -31.1235	
   70.0000	1.035E-11	1.064E-11	-1.489E+9	-3.317E+8	  -20.0867	    7.5126	    4.4083	  -31.0222	
   80.0000	9.847E-12	1.008E-11	-1.410E+9	-3.340E+8	  -20.1046	    7.5275	    4.4447	  -30.9260	
   90.0000	9.446E-12	9.721E-12	-1.770E+9	-3.375E+8	  -20.1065	    7.5275	    4.4630	  -30.8831	
  100.0000	9.290E-12	9.558E-12	-1.433E+9	-3.327E+8	  -20.0855	    7.5635	    4.5108	  -30.7464	
  110.0000	9.186E-12	9.476E-12	-1.611E+9	-3.306E+8	  -20.0939	    7.5815	    4.5142	  -30.7254	
  120.0000	9.196E-12	9.426E-12	-1.551E+9	-3.244E+8	  -20.0909	    7.5652	    4.5104	  -30.7459	
  130.0000	9.144E-12	9.390E-12	-1.190E+9	-3.267E+8	  -20.1477	    7.5505	    4.4987	  -30.7835	
  140.0000	9.119E-12	9.368E-12	-1.335E+9	-2.872E+8	  -20.1210	    7.5573	    4.4649	  -30.8574	
  150.0000	9.102E-12	9.339E-12	-1.259E+9	-3.251E+8	  -20.0623	    7.6243	    4.4602	  -30.8208	
  160.0000	9.033E-12	9.322E-12	4.409E+10	-3.209E+8	  -20.0405	    7.5136	    4.4681	  -30.8812	
  170.0000	8.977E-12	9.309E-12	-9.008E+8	-3.096E+8	  -20.0928	    7.5214	    4.4570	  -30.9015	
  180.0000	9.056E-12	9.294E-12	-1.277E+9	-3.096E+8	  -20.1313	    7.5813	    4.4674	  -30.8344	
  190.0000	9.047E-12	9.282E-12	-1.624E+9	-3.096E+8	  -20.1576	    7.5180	    4.4617	  -30.8928	
  200.0000	9.030E-12	9.264E-12	-1.688E+9	-3.182E+8	  -20.1248	    7.5185	    4.4557	  -30.9065	
  210.0000	8.969E-12	9.254E-12	-1.018E+9	-3.258E+8	  -20.0649	    7.5730	    4.4602	  -30.8573	
  220.0000	8.974E-12	9.250E-12	-2.009E+9	-3.078E+8	  -20.1054	    7.6300	    4.4557	  -30.8271	
  230.0000	8.901E-12	9.238E-12	-1.086E+9	-3.187E+8	  -20.1221	    7.6300	    4.4361	  -30.8731	
  240.0000	8.916E-12	9.232E-12	-9.524E+8	-3.059E+8	  -20.1317	    7.5838	    4.4371	  -30.9037	
  250.0000	8.891E-12	9.222E-12	-1.090E+9	-3.172E+8	  -20.1065	    7.5838	    4.4339	  -30.9112	
  260.0000	8.880E-12	9.217E-12	-8.599E+8	-3.079E+8	  -20.0836	    7.6082	    4.4367	  -30.8871	
  270.0000	8.921E-12	9.211E-12	-2.219E+9	-3.098E+8	  -20.1210	    7.5669	    4.4326	  -30.9262	
  280.0000	8.942E-12	9.203E-12	-2.929E+9	-3.129E+8	  -20.0783	    7.5862	    4.4244	  -30.9318	
  290.0000	8.962E-12	9.198E-12	3.170E+9	-3.094E+8	  -20.1340	    7.5171	    4.4269	  -30.9750	
  300.0000	8.863E-12	9.192E-12	-8.160E+8	-3.094E+8	  -20.1096	    7.5432	    4.4254	  -30.9601	
  310.0000	8.903E-12	9.186E-12	-2.411E+9	-3.094E+8	  -20.0806	    7.4985	    4.4225	  -30.9987	
  320.0000	8.912E-12	9.181E-12	-1.942E+9	-3.077E+8	  -20.0649	    7.4985	    4.3960	  -31.0614	
  330.0000	8.855E-12	9.178E-12	-8.807E+8	-2.997E+8	  -20.1279	    7.5029	    4.4048	  -31.0373	
  340.0000	8.884E-12	9.171E-12	-2.821E+9	-3.053E+8	  -20.1599	    7.4929	    4.3918	  -31.0751	
  350.0000	8.834E-12	9.166E-12	-1.111E+9	-3.102E+8	  -20.1271	    7.5773	    4.4178	  -30.9784	
  360.0000	8.908E-12	9.161E-12	2.785E+9	-3.076E+8	  -20.1237	    7.5360	    4.4624	  -30.8785	
  370.0000	8.879E-12	9.159E-12	-1.826E+10	-3.180E+8	  -20.0691	    7.4901	    4.4997	  -30.8243	
  380.0000	8.879E-12	9.155E-12	-4.293E+9	-2.960E+8	  -20.0546	    7.4901	    4.5623	  -30.6801	
  390.0000	8.792E-12	9.148E-12	-1.252E+9	-3.084E+8	  -20.0684	    7.4679	    4.6078	  -30.5921	
  400.0000	8.831E-12	9.140E-12	-8.571E+9	-3.241E+8	  -20.0733	    7.4614	    4.6369	  -30.5309	
  410.0000	8.830E-12	9.141E-12	-1.063E+9	-3.086E+8	  -20.1385	    7.4575	    4.6600	  -30.4817	
  420.0000	8.805E-12	9.138E-12	-9.147E+8	-3.052E+8	  -20.1645	    7.5638	    4.6774	  -30.3666	
  430.0000	8.871E-12	9.137E-12	-2.200E+9	-2.952E+8	  -20.1656	    7.5638	    4.6499	  -30.4284	
