IV_CB3_D4_-20C
Date/Time: 2/10/2017 1:03:52 PM
Sensor Name: CB3_D4
Type: N
Annealing Status: 0min
Environment: -20C
Tester: Dante + Soumya

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 3.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Current_Avg	Current_0	Current_1	Current_2	GR Current_Avg	GR Current_0	GR Current_1	GR Current_2	Temperature	Air_Temp	Humidity	Dewpoint	
    1.0000	3.4500E-12	9.7000E-13	-6.0300E-12	1.5410E-11	7.275025E-11	1.530333E-10	2.129436E-11	4.392310E-11	  -20.1263	    8.1946	    4.5908	  -30.1118	
   10.0000	5.6997E-11	8.1020E-11	4.8570E-11	4.1400E-11	2.692462E-11	2.686955E-11	2.571228E-11	2.819203E-11	  -20.1385	    8.1715	    4.6132	  -30.0771	
   20.0000	7.4790E-11	7.7340E-11	9.3790E-11	5.3240E-11	2.843741E-11	2.812340E-11	2.847750E-11	2.871134E-11	  -20.1889	    8.1515	    4.6224	  -30.0705	
   30.0000	8.8967E-11	1.0797E-10	9.0190E-11	6.8740E-11	2.972912E-11	2.934567E-11	3.016178E-11	2.967992E-11	  -20.1550	    8.1403	    4.6651	  -30.0061	
   40.0000	8.2050E-11	1.7300E-11	1.2224E-10	1.0661E-10	3.038004E-11	3.035514E-11	3.015773E-11	3.062724E-11	  -20.1309	    8.1391	    4.6733	  -29.9641	
   50.0000	8.7883E-11	6.6900E-11	8.7260E-11	1.0949E-10	3.105829E-11	3.120690E-11	3.090178E-11	3.106618E-11	  -20.1118	    8.1970	    4.6951	  -29.8737	
   60.0000	1.2851E-10	1.4853E-10	1.2938E-10	1.0763E-10	3.184161E-11	3.194245E-11	3.199061E-11	3.159178E-11	  -20.0920	    8.1970	    4.6989	  -29.8652	
   70.0000	9.3853E-11	9.7770E-11	8.3020E-11	1.0077E-10	3.240081E-11	3.223723E-11	3.267292E-11	3.229229E-11	  -20.0531	    8.1674	    4.7132	  -29.8545	
   80.0000	1.0057E-10	-1.8200E-11	1.5746E-10	1.6245E-10	3.271469E-11	3.288206E-11	3.242855E-11	3.283346E-11	  -20.1187	    8.1718	    4.6901	  -29.9031	
   90.0000	5.5740E-11	-5.0000E-13	1.6902E-10	-1.3000E-12	3.297979E-11	3.352995E-11	3.184283E-11	3.356659E-11	  -20.0821	    8.1814	    4.6496	  -29.9875	
  100.0000	8.4667E-11	2.1500E-10	2.5400E-11	1.3600E-11	3.391145E-11	3.378869E-11	3.397475E-11	3.397090E-11	  -20.1241	    8.0906	    4.5927	  -30.1818	
  110.0000	2.1223E-10	2.1550E-10	2.1520E-10	2.0600E-10	3.449953E-11	3.443231E-11	3.458193E-11	3.448434E-11	  -20.0874	    8.2144	    4.5816	  -30.1187	
  120.0000	1.7354E-10	1.5336E-10	1.7119E-10	1.9608E-10	3.487961E-11	3.475949E-11	3.493724E-11	3.494210E-11	  -20.0489	    8.1400	    4.5794	  -30.1769	
  130.0000	1.8350E-10	1.6997E-10	1.7876E-10	2.0177E-10	3.545474E-11	3.536363E-11	3.560842E-11	3.539218E-11	  -20.0424	    7.9738	    4.5452	  -30.3740	
  140.0000	2.1726E-10	2.3907E-10	2.2001E-10	1.9271E-10	3.585947E-11	3.588133E-11	3.585967E-11	3.583740E-11	  -20.1015	    8.0484	    4.4997	  -30.4263	
  150.0000	2.3012E-10	2.5082E-10	2.3253E-10	2.0700E-10	3.627755E-11	3.637899E-11	3.611011E-11	3.634355E-11	  -20.1279	    8.0484	    4.4997	  -30.4263	
  160.0000	1.6818E-10	9.9100E-11	1.9714E-10	2.0831E-10	3.688851E-11	3.701189E-11	3.683714E-11	3.681650E-11	  -20.1637	    8.0430	    4.4883	  -30.4567	
  170.0000	1.9680E-10	3.7420E-10	1.1450E-10	1.0170E-10	3.718519E-11	3.724673E-11	3.714530E-11	3.716353E-11	  -20.1092	    8.0473	    4.4560	  -30.5047	
  180.0000	3.3747E-10	3.4220E-10	3.3610E-10	3.3410E-10	3.775262E-11	3.776180E-11	3.773649E-11	3.775956E-11	  -20.0161	    8.0949	    4.3991	  -30.5541	
  190.0000	3.3887E-10	3.3450E-10	3.3910E-10	3.4300E-10	3.805969E-11	3.807744E-11	3.813231E-11	3.796933E-11	  -20.0478	    8.1536	    4.3985	  -30.5895	
  200.0000	2.7607E-10	3.4720E-10	3.4600E-10	1.3500E-10	3.839813E-11	3.831330E-11	3.857569E-11	3.830540E-11	  -20.1756	    8.0280	    4.3454	  -30.8057	
  210.0000	3.5803E-10	3.5740E-10	3.5170E-10	3.6500E-10	3.883957E-11	3.878687E-11	3.881763E-11	3.891422E-11	  -20.1031	    8.0280	    4.3305	  -30.8415	
  220.0000	3.6297E-10	3.6530E-10	3.5560E-10	3.6800E-10	3.927986E-11	3.930578E-11	3.930395E-11	3.922984E-11	  -20.1038	    8.1208	    4.3140	  -30.8153	
  230.0000	3.6227E-10	3.6780E-10	3.6240E-10	3.5660E-10	3.973614E-11	3.976698E-11	3.971211E-11	3.972932E-11	  -20.0985	    8.0950	    4.3131	  -30.8359	
  240.0000	3.6527E-10	3.6860E-10	3.5880E-10	3.6840E-10	4.001640E-11	3.993846E-11	3.994534E-11	4.016541E-11	  -20.0653	    8.1254	    4.2843	  -30.8404	
  250.0000	3.8027E-10	3.8360E-10	3.8510E-10	3.7210E-10	4.040426E-11	4.042801E-11	4.021766E-11	4.056711E-11	  -20.1096	    8.0672	    4.2555	  -30.9224	
  260.0000	3.3983E-10	3.1350E-10	3.9850E-10	3.0750E-10	4.078318E-11	4.083939E-11	4.067278E-11	4.083738E-11	  -20.1485	    8.0535	    4.2546	  -31.0077	
  270.0000	3.5007E-10	3.2050E-10	3.2230E-10	4.0740E-10	4.122820E-11	4.122367E-11	4.126438E-11	4.119654E-11	  -20.0714	    8.0197	    4.2293	  -31.0937	
  280.0000	4.0220E-10	4.0280E-10	4.0510E-10	3.9870E-10	4.151873E-11	4.156341E-11	4.165208E-11	4.134071E-11	  -20.0954	    8.0224	    4.2701	  -30.9918	
  290.0000	4.8110E-10	4.2080E-10	5.1260E-10	5.0990E-10	4.190226E-11	4.203657E-11	4.185211E-11	4.181810E-11	  -20.1035	    7.9529	    4.2925	  -30.9865	
  300.0000	4.8293E-10	4.2480E-10	5.1380E-10	5.1020E-10	4.244000E-11	4.242346E-11	4.243926E-11	4.245727E-11	  -20.0481	    7.9671	    4.3229	  -30.9030	
  310.0000	4.6123E-10	5.3680E-10	4.2910E-10	4.1780E-10	4.266142E-11	4.261276E-11	4.261114E-11	4.276035E-11	  -20.1313	    8.0591	    4.3336	  -30.8117	
  320.0000	4.7493E-10	5.4920E-10	4.3850E-10	4.3710E-10	4.311460E-11	4.307842E-11	4.308754E-11	4.317783E-11	  -20.1134	    8.0952	    4.3374	  -30.7770	
  330.0000	4.3837E-10	4.4560E-10	4.4060E-10	4.2890E-10	4.333021E-11	4.349610E-11	4.327683E-11	4.321771E-11	  -20.0706	    8.0216	    4.3286	  -30.8505	
  340.0000	5.3367E-10	4.4940E-10	5.7360E-10	5.7800E-10	4.371854E-11	4.352788E-11	4.367183E-11	4.395590E-11	  -20.1389	    7.9773	    4.3646	  -30.7955	
  350.0000	4.4653E-10	4.2180E-10	4.5090E-10	4.6690E-10	4.420235E-11	4.415045E-11	4.428569E-11	4.417090E-11	  -20.1244	    8.0107	    4.4143	  -30.6431	
  360.0000	5.6257E-10	6.0710E-10	4.8030E-10	6.0030E-10	4.434259E-11	4.413283E-11	4.439766E-11	4.449728E-11	  -20.0928	    8.0331	    4.4114	  -30.6444	
  370.0000	5.0697E-10	4.4530E-10	4.7690E-10	5.9870E-10	4.497393E-11	4.503541E-11	4.499391E-11	4.489246E-11	  -20.0474	    8.0614	    4.3245	  -30.7411	
  380.0000	5.1263E-10	4.7370E-10	5.9520E-10	4.6900E-10	4.515824E-11	4.509291E-11	4.512449E-11	4.525731E-11	  -20.0600	    8.0311	    4.3099	  -30.8889	
  390.0000	5.3013E-10	6.2380E-10	4.9050E-10	4.7610E-10	4.537541E-11	4.531846E-11	4.534558E-11	4.546220E-11	  -20.2053	    7.9653	    4.2464	  -31.0903	
